Rk,Team,Tournament_Seed_From_Pasted_Table,Conf,W-L,Wins,Losses,NetRtg,ORtg,ORtg_Rk,DRtg,DRtg_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_NetRtg,SOS_NetRtg_Rk,SOS_ORtg,SOS_ORtg_Rk,SOS_DRtg,SOS_DRtg_Rk,NCSOS_NetRtg,NCSOS_NetRtg_Rk
257,Radford,,BSth,16-16,16,16,-7.66,106.3,223,114.0,273,70.6,26,-0.036,286,-7.14,305,105.8,293,112.9,321,-6.38,322
258,UC Riverside,,BW,10-22,10,22,-7.68,104.0,271,111.6,227,68.5,120,-0.048,303,1.57,117,109.4,148,107.8,120,6.48,45
259,Iona,,MAAC,18-14,18,14,-7.76,103.9,273,111.7,228,68.8,102,0.041,79,-8.72,332,103.8,326,112.6,303,-3.15,267
260,Purdue Fort Wayne,,Horz,17-15,17,15,-7.84,105.3,247,113.2,259,67.7,162,0.118,6,-1.78,200,110.4,107,112.2,289,7.69,37
261,Nebraska Omaha,,Sum,16-17,16,17,-7.98,106.1,225,114.1,277,67.0,198,0.033,99,-2.77,221,108.6,189,111.4,242,3.15,103
262,Boston University,,PL,17-17,17,17,-8.06,111.7,123,119.8,347,63.1,355,-0.022,246,-8.58,328,104.2,314,112.8,310,-4.95,300
263,Pepperdine,,WCC,9-23,9,23,-8.14,105.2,251,113.4,262,68.6,112,-0.018,233,2.95,105,110.2,115,107.2,103,-2.23,253
264,Fairfield,,MAAC,21-13,21,13,-8.14,105.8,234,113.9,272,67.0,202,0.078,24,-9.67,349,102.8,353,112.4,300,-8.73,352
265,Sacramento St.,,BSky,10-21,10,21,-8.28,105.9,231,114.2,278,71.6,11,-0.022,245,1.46,119,110.5,104,109.1,165,8.92,24
266,Incarnate Word,,Slnd,12-19,12,19,-8.48,108.8,178,117.3,324,65.5,283,-0.028,258,-1.49,190,107.4,255,108.9,156,6.68,43
267,Lindenwood,,OVC,18-15,18,15,-8.49,100.5,319,109.0,165,72.4,8,0.017,135,-8.84,336,103.1,347,111.9,271,2.0,125
268,Milwaukee,,Horz,12-20,12,20,-8.85,106.5,221,115.4,299,67.4,180,0.013,149,-1.64,196,110.4,110,112.0,281,6.37,48
